"Entidad
Federativa","Población
(MA)","Incidencia delictiva
(MB)","Victimización
(MC)","Sobrepoblación penitenciaria
(MD)","Impartición de Justicia
(ME)","Servicios Periciales y Forenses
(MF)","Incremento del Estado de Fuerza
(MG)","Dignificación Salarial
(MH)","Instituciones de Profesionalización
(MI)","Aprobación en Control de Confianza
(MJ)","Cámaras
(MK)","Lectores de Identificación Vehicular
(ML)","Llamadas al 911
(MM)","Variación de Incidencia Delictiva
(MN)","Desempeño Policial
(MÑ)","Confianza Policial
(MO)","Eficiencia Presupuestal
(MP)","Monto Base
(MQ)"
Aguascalientes,"6,375,903.45","34,150,751.18","22,512,633.41","13,207,064.87","7,966,265.95",0.00,0.00,"17,128,260.21","10,232,152.28",0.00,0.00,0.00,0.00,"23,342,452.79","20,277,003.89","19,231,557.29","15,498,195.67","17,084,039.97"
Baja California,"17,039,535.15","35,047,657.63","15,770,952.41","15,043,055.66","7,582,497.64",0.00,0.00,"22,099,857.08","24,849,512.69",0.00,0.00,0.00,0.00,"92,813,148.53","23,878,566.24","14,953,638.57","15,170,404.61","17,084,039.97"
Baja California Sur,"3,749,069.09","18,363,859.84","14,380,556.11","47,562,994.55","8,270,812.86",0.00,0.00,"10,764,078.13","7,308,680.20",0.00,0.00,0.00,0.00,"10,556,850.04","27,315,769.05","29,381,746.40","12,950,803.94","17,084,039.97"
Campeche,"3,912,904.32","5,366,739.85","14,215,303.76","53,244,658.56","12,066,332.68",0.00,0.00,"9,752,373.01","14,617,360.40",0.00,0.00,0.00,0.00,"86,978,211.52","13,890,958.16","11,070,205.10","15,715,744.00","17,084,039.97"
Coahuila,"13,993,452.61","5,202,318.95","15,282,389.31","5,716,704.21","5,962,387.42",0.00,0.00,"14,953,183.77","24,849,512.69",0.00,0.00,0.00,0.00,"3,558,244.84","12,666,402.56","14,317,286.33","15,203,567.57","17,084,039.97"
Colima,"3,138,160.54","30,662,726.00","14,423,097.04","69,265,869.51","13,710,195.42",0.00,0.00,"13,125,913.07","7,308,680.20",0.00,0.00,0.00,0.00,"19,702,557.49","25,064,789.98","34,130,180.10","18,020,621.54","17,084,039.97"
Chiapas,"25,158,831.74","2,343,283.01","11,897,500.71","6,270,665.70","13,718,505.33",0.00,0.00,"13,716,778.32","7,308,680.20",0.00,0.00,0.00,0.00,"4,393,192.32","31,230,559.50","34,864,867.16","29,121,011.12","17,084,039.97"
Chihuahua,"16,624,744.85","16,514,511.22","15,735,696.00","8,706,232.24","11,653,154.56",0.00,0.00,"16,273,571.54","21,926,040.61",0.00,0.00,0.00,0.00,"13,373,552.26","5,646,949.56","8,042,642.05","20,336,860.84","17,084,039.97"
Ciudad de México,"37,257,327.35","25,717,628.43","23,529,466.59","19,771,082.71","24,410,876.85",0.00,0.00,"15,942,853.87","29,234,720.81",0.00,0.00,0.00,0.00,"11,440,501.88","8,305,439.43","17,552,859.40","14,934,861.33","17,084,039.97"
Durango,"7,888,666.37","5,832,712.68","15,440,834.75","7,956,953.14","12,049,817.89",0.00,0.00,"15,676,453.06","13,155,624.36",0.00,0.00,0.00,0.00,"6,473,699.02","17,016,940.43","19,497,085.39","14,944,981.85","17,084,039.97"
