Entidad_Federativa,Pob,Var_inc_del,Tasa_policial,Dig_salarial,Profesionalizacion,Ctrl_conf,Disp_camaras,Disp_lectores_veh,Tasa_abandono_llamadas,Cump_presup,Sobrepob_penitenciaria,Proc_justicia,Servs_forenses,Eficiencia_procesal,Asignacion_2025
Aguascalientes,1567559,-0.052055457,1.01304002,-0.100691642,70,0.817436175,0.95,0.95,0.045,0.254437253,0.214048673,0.685277624,0.938931298,2.678700361,247747973
Baja California,4189285,-0.206980427,0.310554188,0.077374892,90,0.840050839,0.95,0.85,0.135,0.249055836,-0.104201681,0.719961161,0.773024124,0.898970588,364026067
Baja California Sur,921734,-0.023542584,0.557644613,-0.328636077,50,0.699759962,0.8,0.9,0.33,0.212616168,-0.334206391,0.660044411,0.89276808,2.744408946,258480395
Campeche,962014,-0.193968071,1.280646643,-0.364872085,50,0.935151811,0.85,0.9,0.1,0.258008791,-0.398085586,0.45242444,1,2.577464789,234864344
Coahuila,3440385,-0.007935158,0.844091577,-0.178595851,120,0.908472306,0.65,0.9,0.305,0.249600279,0.410983397,0.915590252,0.9825768,1.15948076,269188259
Colima,771538,-0.043938212,0.799701376,-0.244042782,50,0.901290313,0.95,0.96,0.11,0.295848468,-0.594127243,0.398178409,0.940851735,1.778026906,253951607
Chiapas,6185469,-0.009797155,1.588238499,-0.222879898,50,0.818181633,0.8,0.75,0.705,0.478085981,0.520607375,0.397937215,0.839468303,1.271837054,272937247
Chihuahua,4087306,-0.029824045,0.800037971,-0.131303828,150,0.868823439,0.98,0.8,0.115,0.333874673,0.125709651,0.468465751,0.905996759,1.765826675,356269432
Ciudad de México,9159966,-0.025513195,8.597411824,-0.143149066,150,0.792321594,0.95,0.9,0.225,0.245188871,-0.06421379,0.223634072,0.861238692,2.683807598,590212124
Durango,1939482,-0.014436844,0.487759103,-0.152690682,70,0.814666332,0.75,0.9,0.44,0.245355021,1.079302832,0.453044507,0.968106996,1.613855422,260961817
Guanajuato,6590749,0.018055611,0.861814037,0.552644876,220,0.930295801,0.99,0.95,0.135,0.244209854,-0.032738534,0.349922274,0.970703636,1.830248307,331145741
Guerrero,3606296,-0.013587348,1.240330799,-0.310499692,50,0.645699647,0.75,0.5,0.355,0.252318113,0.045466423,0.731905702,0.986796117,1.903874814,272901759
Hidalgo,3334060,-0.004978915,0.549780148,-0.143167067,50,0.893426647,0.98,0.9,0.26,0.221947426,0.413741598,0.818999861,0.985060241,1.787783044,252597220
Jalisco,8982027,-0.053005853,0.91260024,-0.014274718,200,0.758865464,0.96,0.85,0.34,0.236970894,0.00899978,0.927966217,0.958491521,1.179136811,374461807
